"Food ID","Name","Optional Name","Description","Scientific Name","Derivation","Nitrogen Factor","Fat Factor","Specific Gravity","Sampling details","Inedible Portion","Edible Portion","Group","Sub Group","Sort Order"
"14B10092","Pectins, Powder, Unsweetened, Food Additive (440)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","1.000","0.000","Values are imputed based on scientific literature and industry values.","","100%","Additives and Cooking Ingredients","","20"
"14B10083","Sodium Ascorbate, Food Additive (301)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","C6H7NaO6","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","21"
"14B10065","Sodium Benzoate, Food Additive (211)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","C6H5COONa","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula (C6H5COONa).","","100%","Additives and Cooking Ingredients","","22"
"14B10069","Sodium Dihydrogen Citrate, Food Additive (331)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","","Additives and Cooking Ingredients","","23"
"14B10084","Sodium Erythorbate, Food Additive (316)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","C6H8O7","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","24"
"14B10067","Sodium Metabisulphite, Food Additive (223)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","Na2S2O5","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula (Na2S2O5).","","100%","Additives and Cooking Ingredients","","25"
"14B10068","Sodium Nitrate, Food Additive (251)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","NaNO3","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula (NaNO3).","","100%","Additives and Cooking Ingredients","","26"
"14B10066","Sodium Nitrite, Food Additive (250)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","NaNO2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula (NaNO2).","","100%","Additives and Cooking Ingredients","","27"
"14B10082","Sodium Propionate, Food Additive (281)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","CH3CH2COONa","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","28"
"14B10071","Sodium Stearoyl Lactylate, Food Additive (481)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","29"
"14B10078","Sodium Sulphite, Food Additive (221)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","Na2SO3","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","30"
"14B10070","Sodium Tripolyphospate, Food Additive (451), Anhydrous ","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","Na5P3O10","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","Nil","100%","Additives and Cooking Ingredients","","31"
"14B10077","Sunset Yellow FCF, Food Colour (FD&C Yellow 6) (110)","","Nutrient values are based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C16H10N2O7S2Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula and industry data.","","100%","Additives and Cooking Ingredients","","32"
"14B10094","Tartrazine, Food Colour (FD&C Yellow 5) (102)","","Nutrient values based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C16H9N4O9S2Na3","Calculated","6.25","0.000","0.000","Calculated based on molecular formula (C16H9N4O9S2Na3) and industry data.","","100%","Additives and Cooking Ingredients","","33"
"10F60045","Vanilla Bean Extract, Alcohol Based","","Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent.","","Borrowed - US","6.25","1.000","0.000","Borrowed from USDA SR 16-1 02051","","100%","Additives and Cooking Ingredients","","34"
"10F60056","Vanilla, Artificial, Extract, Alcohol Free","","Solution containing the substance vanillin, used as a flavouring agent.","","Borrowed - US","6.25","1.000","0.000","Borrowed from USDA SR 16-1 02053","","100%","Additives and Cooking Ingredients","","35"
"10F30005","Yeast, Bakers, Compressed","Compressed baker's yeast","A cream or pale grey powder with a fine, smooth texture. Active raising agent used to leaven a wide range of breads, cakes and pastries.","Saccharomyces cerevisiae","Analysed","6.25","0.800","0.000","Majority of nutrients (proximates, vitamins and minerals) are derived from a composite sample of six purchases of resh compressed bakers yeast purchased in Adelaide in 1990 (AGAL 1990). Amino acids are derived from an analysis of a different composite sample of six purchases of Kraft Vegemite purchased in Adelaide in 1990. Vitamin C, cholesterol and retinol values were imputed based on international literature. Folate value borrowed from UK 6th summary edition, record 1234. Fibre value borrowed from USDA 19th edition record 18374.","nil","100%","Additives and Cooking Ingredients","","36"
"10F30006","Yeast, Dried","Dried yeast","A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries.","Saccharomyces cerevisiae","Analysed","6.25","0.800","0.000","Majority of nutrients (proximates, vitamins and minerals) are derived from a composite sample of six purchases of Supercook dry yeast purchased in Adelaide in 1990 (AGAL 1990). Amino acids are derived from a separate analysis of a different composite sample of six purchases of Kraft Vegemite purchased in Adelaide in 1990. Vitamin C, cholesterol and retinol values were imputed based on international literature. Folate value borrowed from UK tables sixth summary edition, record 1235.","nil","100%","Additives and Cooking Ingredients","","37"
"01A10026","Beer, Ale","","Alcoholic beverage made by brewing and fermenting cereals, usually barley, using warm temperature fermentation. Approximately 5% v/v alcohol.","","Analysed","6.25","1.000","0.000","Majority of values are from composite analytical sample of 4 brands of Australian bottled/ canned beer labelled as being ale. Samples purchased in Adelaide and Canberra in 1990. Folate value borrowed from Food 209, British miscellanous foods book, 1994. Heavy metals are from 19th ATDS, samples purchased in all Australian states (not NT or ACT). Fatty acid totals were prepared for 1995 NNS. Starch is imputed zero. I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS.","Nil","100%","Beverages","Alcoholic","38"
"01A10027","Beer, Bitter","","Alcoholic beverage made by brewing and fermenting cereals, usually barley, and described on the label as bitter style. 3.9% v/v alcohol.","","Analysed","6.25","1.000","1.006","Majority of values were derived from 2 samples of each of 3 brands purchased in Adelaide, December 1989. Starch is imputed zero. Folate determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS.","","","Beverages","Alcoholic","39"
"01A10030","Beer, Carbohydrate-Modified ","","Alcoholic beverage made by brewing and fermenting cereals, usually barley, using low fermentation temperatures. 4.0% v/v alcohol.","","Analysed","6.25","1.000","1.001","Composite analytical sample of 2 brands of Australian bottled beer labelled as being diet beer and/or carbohydrate modified. Samples were purchased in Adelaide, South Australia, in 1990.  I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Folate determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. Starch is imputed zero.","Nil","100%","Beverages","Alcoholic","40"
"01A10035","Beer, Draught","","Alcoholic beverage made by brewing and fermenting cereals, usually barley, and described on the label as draught style. 3.3% v/v alcohol.","","Analysed","6.25","1.000","1.006","Majority of values were derived from 6 samples, 4 brands purchased in Adelaide, December 1989.  Folate determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Starch is imputed zero.","","","Beverages","Alcoholic","41"
"01A10028","Beer, Home-Brewed","Home Brew","Alcoholic beverage (bitter/draught and lager beers) prepared in the home from fermentation of cereals. 3.9% v/v alcohol.","","Calculated","6.25","1.000","1.006","Majority of values were calculated for AUSNUT from nutrients in beer (99.5 g/100 g) and brewers yeast (0.5 g/100 g). Starch, dextrins and selenium are imputed based on levels in other beers. No further details available.","Nil","100%","Beverages","Alcoholic","42"
"01A10029","Beer, Lager","","Alcoholic beverage made by brewing and fermenting cereals, usually barley, using low fermentation temperatures. 5.0% v/v alcohol.","","Analysed","6.25","0.800","1.006","Majority of values are derived from composite sample of 4 brands of Australian bottled or canned beer labelled as lager, purchased in Adelaide in 1990. I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Other heavy metals are from 19th ATDS, samples purchased in all Australian states (not NT or ACT). Folate and carotenes determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. Starch, fat, fatty acids, cholesterol fibre are imputed zero.","Nil","100%","Beverages","Alcoholic","43"
"01A10034","Beer, Low Alcohol (Less Than 1% Alcohol V/V)","Extra light beer","Alcoholic beverage made by brewing and fermenting cereals, usually barley, so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Special/Ultra/Extra Light. 0.7% v/v alcohol.","","Analysed","6.25","1.000","1.010","Composite sample of 3 brands of Australian beers sold in bottles or cans and described on labels as Special/Extra Light and 1 brand of Australian brewed soft drink, with an alcohol content of 0.5 to less than 1.15 per cent by volume.  I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Folate determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. Starch is imputed zero.","Nil","100%","Beverages","Alcoholic","44"
"01A10032","Beer, Reduced Alcohol Or Light Beer","Light beer","Alcoholic beverage made by brewing and fermenting cereals, usually barley, so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. 2.1% v/v alcohol.","","Analysed","6.25","1.000","1.009","Composite analytical sample of 3 brands of Australian bottled beer labelled as being light in style. Samples were purchased in Adelaide, South Australia, in 1990. Folate determined in a composite of 6 samples (2xXXXX Gold, 2xCarlton Gold, 2xVic Bitter, 2xTooheys Draught, 1xSwan Lager, 1xWest End Draught) purchased in February 1998. I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Starch, dextrins and selenium are imputed based on other beers.","Nil","100%","Beverages","Alcoholic","45"
"01A10033","Beer, Reduced Alcohol Or Light Beer, Home-Brewed","Home Brew","Alcoholic beverage prepared in the home from fermentation of cereals and with a lower alcohol content than usual. 2.1% v/v alcohol.","","Calculated","6.25","0.000","1.009","Data were prepared for AUSNUT and majority of values were estimated from data for regular beer, unspecified type (99.5 g/100 g) and brewers yeast (0.5 g). Starch, dextrins and selenium are imputed.","Nil","100%","Beverages","Alcoholic","46"
"01A10031","Beer, Stout","","Alcoholic beverage brewed from highly roasted cereals, usually barley, so that it is dark coloured. 5.7% v/v alcohol.","","Analysed","6.25","1.000","1.013","Composite analytical sample of 4 brands of Australian bottled beer labelled as being stout. Samples were purchased in Adelaide and Canberra in 1990. Folate value borrowed from UK 6th record 1139.   I, Se, Cr, Ni and Se are from 6 samples of full strength and light beer purchased in NSW, NT and Qld in November 2004 as part of the 22nd ATDS. Starch is imputed zero.","Nil","100%","Beverages","Alcoholic","47"
"01A30056","Brandy","","Alcoholic beverage obtained from the distillation of wine, or fermented preparations of grapes or grape product. ","","Analysed","6.25","1.000","0.956","Majority of values are derived from a composite sample of 2 brands of Australian brandy, purchased in Adelaide in December 1989. Folate value borrowed from UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","48"
"01A30087","Cider, Apple, Alcoholic, Draught Style","","Alcoholic beverage prepared from fermented apples and served from a cask.","","Analysed","6.25","1.000","1.008","Majority of proximate values derived from a composite sample of a total of 10 purchases of 4 brands of draught cider purchased in Adelaide in 1994/95. Majority of vitamins and minerals derived from a composite sample of 5 samples of 1 brand of dry cider purchased in Adelaide in 1994/95. ASH, vitamin C, FAT, CHOL, BCAR  and fibre imputed for AUSNUT.","Nil","100%","Beverages","Alcoholic","49"
"01A30088","Cider, Apple, Alcoholic, Dry Style","","Alcoholic beverage prepared from fermented apples, with a low level of residual sugars (approximately 3%).","","Analysed","6.25","1.000","1.007","Majority of data based on a composite sample of 5 brands of dry style apple cider purchased in Adelaide in 1994/5. ASH, vitamin C, CHOL, BCAR and fibre imputed for AUSNUT and appear to be based on earlier NUTTAB data and on UK data.","Nil","100%","Beverages","Alcoholic","50"
"01A30089","Cider, Apple, Alcoholic, Sweet Style","","Alcoholic beverage prepared from fermented apples with significant residual sugars (approximately 14%).","","Analysed","6.25","1.000","1.010","Majority of proximate values derived from a composite sample of a total of 6 purchases of 2 brands of sweet cider purchased in Adelaide in 1994/95. Majority of vitamins and minerals derived from a composite sample of 5 samples of 1 brand of dry cider purchased in Adelaide in 1994/95. ASH, vitamin C, FAT, CHOL, BCAR and fibre imputed for AUSNUT.","Nil","100%","Beverages","Alcoholic","51"
"01A30058","Gin","","Alcoholic beverage produced by distillation of fermented cereals and flavoured with juniper.","","Analysed","6.25","1.000","0.954","Majority of values are derived from a composite sample of 2 brands of gin, purchased in Adelaide in December 1989. Folate value borrowed from UK5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","52"
"01A30063","Liqueur, Advocaat","","Alcoholic beverage prepared from brandy and egg yolks.","","NNS 1995","6.25","0.000","1.093","Data prepared for AUSNUT with some values (eg fat) borrowed from UK tables; no further information is available.","Nil","100%","Beverages","Alcoholic","53"
"01A30065","Liqueur, Cream-Based, Coffee Flavour","","Alcoholic beverage mixed with dairy cream, with coffee flavour","","Borrowed - US","6.25","0.000","1.059","Majority of data prepared for AUSNUT and based largely on US (record 14415), with some values from record 242, UK 5th 4S, 1994. Caffeine value based on samples purchased in Victoria in 2002. Individual sugars determined in samples purchased in Adelaide in 1989.","Nil","100%","Beverages","Alcoholic","54"
"01A30066","Liqueur, Cream-Based, Non-Coffee Flavours","","Alcoholic beverage mixed with dairy cream; flavours other than coffee","","Calculated","6.25","0.000","1.059","Data prepared for AUSNUT based on nutrient values obtained from American and British analytical data; no further information is available.","","","Beverages","Alcoholic","55"
"01A30059","Ouzo","","Alcoholic beverage flavoured with anise.","","NNS 1995","6.25","1.000","0.955","Data prepared for AUSNUT based on values for vodka, with amendments to moisture and alcohol values; no further information available. Selenium value is imputed.","","","Beverages","Alcoholic","56"
"01A20049","Port (Fortified Wine)","","Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. 14.2% v/v alcohol.","","Analysed","6.25","1.000","1.040","Composite sample of 5 brands of Australian port or tawny port purchased in Adelaide in 1990.","Nil","100%","Beverages","Alcoholic","57"
"01A30060","Rum, Dark And Light Coloured","","Alcoholic beverage produced by distillation of fermented sugar. Data refer to both dark coloured and white coloured rum.","","Analysed","6.25","1.000","0.955","Majority of values are derived from a composite sample of 2 brands of rum (imported and Australian-produced, dark and light coloured), purchased in Adelaide in December 1989. Folate value borrowed from UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","58"
"01A20047","Sherry (Fortified Wine), Dry Style (Sugars Approximately 1%)","","Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). 14.1% v/v alcohol.","","Analysed","6.25","1.000","0.989","Majority of values are from a composite sample of 3 brands of Australian dry sherry purchased in Adelaide and another area of Australia in 1990. Folate value borrowed from food no. 237, UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","59"
"01A20048","Sherry (Fortified Wine), Sweet Style (Approximately 11% Sugars)","","Fermented grape juice to which additional alcohol is added and with a high sugars content (approximately 11%) and a sweet flavour. 14.0% v/v alcohol.","","Analysed","6.25","1.000","1.031","Composite sample of 3 brands of Australian sweet sherry purchased in Adelaide and another area of Australia in 1990. Folate value borrowed from food no. 237, UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","60"
"01A30061","Vodka","","Alcoholic beverage prepared by distillation of fermented potatoes and/or grain. ","","Analysed","6.25","1.000","0.955","Majority of values were derived from 2 samples, 2 brands purchased in Adelaide, December 1989.","Nil","100%","Beverages","Alcoholic","61"
"01A30057","Whisky","Scotch","Alcoholic beverage prepared by distillation of fermented cereals.","","Analysed","6.25","1.000","0.954","Majority of values are derived from a composite sample of 2 brands of whisky, purchased in Adelaide in December 1989. Folate value borrowed from UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","62"
"01A20054","Wine And Fruit Juice Blend (Wine Cooler), All Flavours","","Alcoholic beverage produced from a mixture of approximately one third white wine and two thirds fruit juice, sometimes with added flavouring. 3.1% v/v alcohol.","","Analysed","6.00","1.000","1.030","Composite sample of 4 brands purchased in Adelaide, South Australia, in 1990. Folate value prepared by imputation from values for white wine and fruit juices.","Nil","100%","Beverages","Alcoholic","63"
"01A20035","Wine, Red","","Alcoholic beverage produced by fermentation of grape juice with prolonged grape skin contact to produce wine of a deep red colour. 9.57% v/v alcohol.","","Analysed","6.25","1.000","0.994","Composite sample of 6 brands of Australian cask and bottled red wine purchased in Adelaide in 1990 and defined as being claret style or made from shiraz, cabernet or malbec grapes. Folate values were unchanged from Food no. 228, UK 5th (4S), 1994.","Nil","100%","Beverages","Alcoholic","64"
"01A20038","Wine, Red, Cooked","","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, then heated until the majority of alcohol has evaporated.","","Calculated","6.25","1.000","1.005","Data prepared for AUSNUT based on Australian analytical data (Wine, Red, 01A20035), with significant changes made to many nutrient values to allow for nutrient change on heating.","Nil","100%","Beverages","Alcoholic","65"
"01A20051","Wine, Red, Reduced Alcohol ","","Alcoholic beverage produced by fermentaion of grape juice with contact with grape skins, and processed so that less alcohol remains than in regular red wine (less than 6.5% v/v).","","NNS 1995","6.00","1.000","0.997","Data prepared for AUSNUT based on data for regular red wine, with amendments to the moisture and alcohol values. Selenium value is imputed.","Nil","100%","Beverages","Alcoholic","66"
"01A20037","Wine, Red, Sparkling","","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. 12.6% v/v alcohol.","","Industry analytical","6.25","1.000","0.995","Data prepared for AUSNUT and based on composition of sparkling white wine. Data on specific gravity, alcohol, acidity and sugars content provided by Australian industry in 2004. Selenium value is imputed.","Nil","100%","Beverages","Alcoholic","67"
"01A20036","Wine, Rose","","Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. 8.6% v/v alcohol.","","Analysed","6.25","1.000","1.003","Composite sample of 5 brands of cask and bottled Australian rose wine and 1 bottle of Portuguese rose wine, purchased in Adelaide in 1990. Grape variety includes grenache. Folate value was unchanged from USDA no. 14104, 1986.","Nil","100%","Beverages","Alcoholic","68"
"01A20043","Wine, White, Cooked","","Alcoholic beverage produced by fermentation of grape juice with little contact with grape skins, then heated until the majority of alcohol has evaporated.","","Calculated","6.25","1.000","0.998","Data prepared for AUSNUT based on Australian analytical data (Wine, White), with significant changes made to many nutrient values to allow for nutrient change on heating. Selenium value is imputed zero.","Nil","100%","Beverages","Alcoholic","69"
"01A20039","Wine, White, Dry Style (Sugars Content Less Than 1%)","","Fermented grape juice produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine described as white burgundy, or produced from chardonnay, semillon, colombard, chenin blanc and tokay varieties. 9.3% v/v alcohol.","","Analysed","6.25","1.000","0.994","Majority of values are derived from a composite sample of 6 brands of cask and bottled Australian wine purchased in Adelaide, South Australia, in 1990. Folate values were unchanged from Food no. 230, UK 5th (4S), 1994. I, Se, Cr, Ni & Mo are from 10 samples of dry or medium-dry white table wines purchased in Tas, WA, NSW, ACT & Vic in December 2004 as part of the 22nd ATDS. Remaining metals values from 20th ATDS (samples collected in 2000).","Nil","100%","Beverages","Alcoholic","70"
"01A20040","Wine, White, Medium Dry Style (Approximately 1% Sugars)","","Alcoholic beverage prepared by fermentation of grape juice, with little contact with grape skins so that the wine is pale yellow in colour with some sugars remaining. Includes gewurztraminer and riesling grape varieties. 8.5% v/v alcohol.","","Analysed","6.25","1.000","0.998","Majority of values derived from a composite sample of 6 brands of cask and bottled Australian wine purchased in Adelaide, South Australia, in 1990. Folate values were unchanged from Food no. 230, UK 5th (4S), 1994. I, Se, Cr, Ni & Mo are from 10 samples of dry or medium-dry white table wines purchased in Tas, WA, NSW, ACT & Vic in December 2004 as part of the 22nd ATDS. Remaining metals derived from 20th ATDS (samples collected in 2000).","Nil","100%","Beverages","Alcoholic","71"
"01A20041","Wine, White, Medium Sweet Style (Approximately 2.5% Sugars)","","Alcoholic beverage prepared by fermentation of grape juice produced with little contact with grape skins so that the wine is pale yellow in colour, with some sugars remaining (approximately 2.5% sugars). Includes wine described as being moselle or liebfrauwine or spaetlese styles or made from riesling or frontignac grape varieties. 7.8% v/v alcohol.","","Analysed","6.25","1.000","1.005","Majority of values are from a composite sample of 6 brands of cask and bottled Australian wine purchased in Adelaide in 1990. Folate value borrowed from Food no. 233, UK 5th (4S), 1994. I, Se, Cr, Ni & Mo are from 10 samples of dry or medium-dry white table wines purchased in Tas, WA, NSW, ACT & Vic in December 2004 as part of the 22nd ATDS. Remaining metals derived from 20th ATDS (samples collected in 2000).","Nil","100%","Beverages","Alcoholic","72"
"01A20050","Wine, White, Reduced Alcohol ","","Alcoholic beverage produced by fermentaion of grape juice with little contact with grape skins, and processed so that less alcohol remains than in regular white wine (less than 6.5% v/v).","","NNS 1995","6.00","1.000","1.001","Data prepared for AUSNUT based on data for regular white wine, with amendments to the moisture and alcohol values. Selenium value is imputed.","Nil","100%","Beverages","Alcoholic","73"
